2014,4432,3409,5625,14700,12090,17577,11581,9725,13651,NA,PassaicCounty,combined,combined
2015,4594,3501,5866,15195,12175,18539,13212,10942,15701,NA,PassaicCounty,combined,combined
2016,4558,3484,5976,15748,12719,19501,13828,11352,16664,NA,PassaicCounty,combined,combined
2017,4607,3398,6189,16677,13630,20146,14644,12101,17369,NA,PassaicCounty,combined,combined
2018,4806,3280,6683,16987,12444,21680,13731,10528,17649,NA,PassaicCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,PassaicCounty,combined,combined
2020,5717,4159,7702,18975,14633,23604,16480,12864,20281,NA,PassaicCounty,combined,combined
2021,4794,3975,5856,16811,14191,19989,14818,12713,17238,NA,PassaicCounty,combined,combined
2004,473,329,665,1397,1033,1893,1237,919,1655,NA,SalemCounty,combined,combined
2005,520,327,767,1700,1175,2305,1273,878,1754,NA,SalemCounty,combined,combined
2006,601,448,788,1821,1382,2358,1471,1135,1863,NA,SalemCounty,combined,combined
2007,691,501,907,2109,1582,2691,1675,1287,2094,NA,SalemCounty,combined,combined
2008,692,529,906,2070,1614,2652,1664,1321,2086,NA,SalemCounty,combined,combined
2009,704,534,895,2289,1785,2839,1764,1408,2135,NA,SalemCounty,combined,combined
2010,754,513,1024,2633,1984,3327,2252,1727,2822,NA,SalemCounty,combined,combined
2011,679,528,871,2341,1864,2912,1904,1545,2339,NA,SalemCounty,combined,combined
2012,687,566,816,2536,2139,2973,2165,1852,2500,NA,SalemCounty,combined,combined
2013,687,503,911,2589,2091,3121,2348,1962,2747,NA,SalemCounty,combined,combined
